"Gen","Time","MinutesAll","MinutesThis","NAMES","M_par","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-11 11:21:29",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-11 11:22:54",1.42572364409765,1.42572364409765,"gen0_059",3,0,1,1,1,1,0,1,1,0,1,1,0,1,0.0589439710841329,0.0446151660143852,0.0514187310170897,9
1,"2014-12-11 11:24:20",2.86095769008001,1.44429102341334,"gen1_0002",8,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0591971598567194,0.0503503336620608,0.0530213637451113,9
2,"2014-12-11 11:25:46",4.29699678421021,1.44699678421021,"gen2_0062",9,0,0,1,0,1,0,1,1,0,1,1,1,1,0.0587480334592604,0.05361449834174,0.0507857970290788,8
3,"2014-12-11 11:27:17",5.80297432343165,1.51964099009832,"gen3_0054",10,0,0,1,0,1,0,1,1,0,1,1,1,1,0.0586462011508428,0.0647478147626161,0.0511542533971867,8
4,"2014-12-11 11:28:46",7.29873625040054,1.49873625040054,"gen4_0001",10,0,0,1,0,1,0,1,1,0,1,1,1,1,0.0586462011508428,0.0526150541420828,0.0511542533971867,8
5,"2014-12-11 11:30:16",8.79552718400955,1.51219385067622,"gen5_0047",5,0,1,1,0,1,0,1,1,1,1,1,1,1,0.0581735040602827,0.052335510089444,0.0510358976520344,10
6,"2014-12-11 11:31:44",10.2539505402247,1.47061720689138,"gen6_0045",8,0,1,0,0,1,0,1,1,0,1,1,0,1,0.0584705634229568,0.0469483941446178,0.0548141941013897,7
7,"2014-12-11 11:33:13",11.7440301060677,1.49403010606766,"gen7_0020",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0436780394536409,0.0545057782753499,8
8,"2014-12-11 11:34:41",13.2126383582751,1.47930502494176,"gen8_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0431678744817103,0.0545057782753499,8
9,"2014-12-11 11:36:11",14.7053469419479,1.50534694194794,"gen9_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0454643378651093,0.0545057782753499,8
10,"2014-12-11 11:37:39",16.1833133260409,1.4833133260409,"gen10_0015",7,0,0,0,0,1,0,1,1,0,1,1,0,0,0.058155626306436,0.0326502527169062,0.052040766962593,5
11,"2014-12-11 11:39:08",17.6645052274068,1.49783856074015,"gen11_0001",7,0,0,0,0,1,0,1,1,0,1,1,0,0,0.058155626306436,0.0403585116908724,0.052040766962593,5
12,"2014-12-11 11:40:37",19.1440161188444,1.49401611884435,"gen12_0001",7,0,0,0,0,1,0,1,1,0,1,1,0,0,0.058155626306436,0.0309572867505633,0.052040766962593,5
13,"2014-12-11 11:42:06",20.6297377030055,1.49640436967214,"gen13_0004",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.041935930292571,0.0545057782753499,8
14,"2014-12-11 11:43:35",22.1101490577062,1.49348239103953,"gen14_0002",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.031293540351243,0.0545057782753499,8
15,"2014-12-11 11:45:04",23.5939699053764,1.49396990537643,"gen15_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0365202265490061,0.0545057782753499,8
16,"2014-12-11 11:46:34",25.090178334713,1.50684500137965,"gen16_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0500437431158399,0.0545057782753499,8
17,"2014-12-11 11:48:03",26.5803223729134,1.49698903958003,"gen17_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0405924759508148,0.0545057782753499,8
18,"2014-12-11 11:49:32",28.0606191953023,1.49395252863566,"gen18_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0518804463635896,0.0545057782753499,8
19,"2014-12-11 11:51:01",29.5479622483253,1.49796224832535,"gen19_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0385944037985034,0.0545057782753499,8
20,"2014-12-11 11:52:31",31.0436501383781,1.51031680504481,"gen20_0001",8,0,1,0,0,1,0,1,1,0,1,1,1,1,0.0583449438783407,0.0520463492178629,0.0545057782753499,8
