"Gen","Time","MinutesAll","MinutesThis","NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-09 14:19:59",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-09 14:36:22",16.3842630068461,16.3842630068461,"gen0_046",14,0.614244,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0544536584652576,0.0313691831299728,0.0573073383207372,8
1,"2014-12-09 14:47:08",27.1657454053561,10.7824120720228,"gen1_0028",17,0.179141,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0503354136462064,0.073749476877975,0.0559475230804879,9
2,"2014-12-09 14:55:54",35.9242021282514,8.77420212825139,"gen2_0001",17,0.179141,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0503354136462064,0.0676004865413568,0.0559475230804879,9
3,"2014-12-09 15:07:19",47.3445109128952,11.4278442462285,"gen3_0001",17,0.179141,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0503354136462064,0.0735254658325952,0.0559475230804879,9
4,"2014-12-09 15:16:51",56.8825018604596,9.54916852712631,"gen4_0022",13,0.172648,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0503767522756183,0.0845061212846146,0.0552465367614821,10
5,"2014-12-09 15:29:12",69.2169159253438,12.3502492586772,"gen5_0023",22,0.169252,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0503727997531193,0.0703098721641026,0.0558377450215068,9
6,"2014-12-09 15:44:21",84.3717932303746,15.155126563708,"gen6_0054",20,0.171795,0,1,0,1,1,0,1,1,1,1,0,1,1,0.0501371432021325,0.076626642853814,0.0562981045388613,9
7,"2014-12-09 15:59:35",99.6070900082588,15.2404233415922,"gen7_0001",20,0.171795,0,1,0,1,1,0,1,1,1,1,0,1,1,0.0501371432021325,0.0841021360963348,0.0562981045388613,9
8,"2014-12-09 16:15:04",115.085781506697,15.4857815066973,"gen8_0036",20,0.18773,1,1,0,1,1,1,1,1,1,1,0,1,0,0.050265379374085,0.0782177312924935,0.0557392131181959,10
9,"2014-12-09 16:31:04",131.084802206357,16.001468873024,"gen9_0030",7,0.245674,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0500656799757899,0.0557595215579839,0.0549508638899462,11
10,"2014-12-09 16:45:39",145.682503374418,14.5991700410843,"gen10_0002",26,0.206261,0,1,0,1,1,1,1,1,1,1,0,1,1,0.0501745154577759,0.0851801969699449,0.0543492215575368,10
11,"2014-12-09 17:03:13",163.244570036729,17.5779033700625,"gen11_0002",16,0.200732,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0502045338664532,0.0751251771479881,0.0558089402225745,10
12,"2014-12-09 17:15:35",175.616394428412,12.3830610950788,"gen12_0047",16,0.199314,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0502036067240014,0.062071791135647,0.0560935125673091,10
13,"2014-12-09 17:27:39",187.681525961558,12.081525961558,"gen13_0022",21,0.187931,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0500693288044277,0.0800690098829159,0.0561768989598734,10
14,"2014-12-09 17:40:53",200.905005252361,13.2383385856946,"gen14_0001",21,0.187931,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0500693288044277,0.0817020643473406,0.0561768989598734,10
15,"2014-12-09 17:54:01",214.042584641774,13.1425846417745,"gen15_0052",21,0.196013,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0500154313937137,0.0727013514294952,0.0566515735373499,10
16,"2014-12-09 18:08:22",228.394087656339,14.3607543230057,"gen16_0003",21,0.190683,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0501262211447464,0.0633111844965773,0.056180021205424,9
17,"2014-12-09 18:22:09",242.168874033292,13.7855406999588,"gen17_0035",21,0.202838,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0501161655926431,0.0725454924603779,0.0565950979600533,10
18,"2014-12-09 18:36:46",256.795871897539,14.6292052308718,"gen18_0033",21,0.201617,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0500612183106686,0.0715563103165221,0.0565402836178541,10
19,"2014-12-09 18:50:36",270.629925127824,13.8465917944908,"gen19_0001",21,0.201617,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0500612183106686,0.0680645734982622,0.0565402836178541,10
20,"2014-12-09 19:05:56",285.953841392199,15.3371747255325,"gen20_0040",21,0.207627,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0500609641749368,0.0604574517566629,0.056216170615246,9
